run_id,__done,python_file,total_energy_joules,execution_time_seconds,avg_power_watts,max_power_watts,min_power_watts,cpu_usage_avg,memory_usage_avg,results_set,benchmark,variant,log_path,energy_joules_log,exec_time_sec_log,energy_joules,exec_time_sec
run_0_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms.py,0.483,0,2.301,2.301,2.301,21.019,37.851,results_1,ant_colony_optimization_algorithms,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_0_repetition_0/energibridge.log,0.4832979941368103,0.24022904,0.483,0
run_1_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G1.py,0.478,0,2.275,2.275,2.275,19.126,37.868,results_1,ant_colony_optimization_algorithms,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_1_repetition_0/energibridge.log,0.477683629989624,0.22791421,0.478,0
run_2_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G12.py,0.476,0,2.264,2.264,2.264,16.747,37.885,results_1,ant_colony_optimization_algorithms,G12,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_2_repetition_0/energibridge.log,0.4755071783065796,0.22667612,0.476,0
run_3_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G14.py,0.484,0,2.305,2.305,2.305,16.424,37.899,results_1,ant_colony_optimization_algorithms,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_3_repetition_0/energibridge.log,0.484028034210205,0.22152425,0.484,0
run_4_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G3.py,0.625,0,3.014,3.095,2.974,23.991,37.919,results_1,ant_colony_optimization_algorithms,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_4_repetition_0/energibridge.log,0.6245212197303772,0.226514,0.625,0
run_5_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G4.py,0.609,0,2.914,2.914,2.914,23.882,37.896,results_1,ant_colony_optimization_algorithms,G4,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_5_repetition_0/energibridge.log,0.6091151521205902,0.23448062,0.609,0
run_6_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G6.py,0.463,0,2.205,2.205,2.205,16.662,37.876,results_1,ant_colony_optimization_algorithms,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_6_repetition_0/energibridge.log,0.4629693746566772,0.22631037,0.463,0
run_7_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G7.py,0.468,0,2.24,2.24,2.24,16.641,37.907,results_1,ant_colony_optimization_algorithms,G7,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_7_repetition_0/energibridge.log,0.46813862514495846,0.2338513,0.468,0
run_8_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G9.py,0.464,0,2.207,2.207,2.207,11.698,37.893,results_1,ant_colony_optimization_algorithms,G9,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_8_repetition_0/energibridge.log,0.4635662841796875,0.22282301,0.464,0
run_9_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_OPTIMIZED.py,0.47,0,2.237,2.237,2.237,10.86,37.923,results_1,ant_colony_optimization_algorithms,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_9_repetition_0/energibridge.log,0.46975347518920896,0.22523722,0.47,0
