run_id,__done,python_file,total_energy_joules,execution_time_seconds,avg_power_watts,max_power_watts,min_power_watts,cpu_usage_avg,memory_usage_avg,results_set,benchmark,variant,log_path,energy_joules_log,exec_time_sec_log,energy_joules,exec_time_sec,is_outlier,energy_z_score,energy_normalized,baseline_energy_run,pct_vs_baseline_run,efficiency_ratio,calculated_power,power_final
run_0_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms.py,0.483,0,2.301,2.301,2.301,21.019,37.851,results_1,ant_colony_optimization_algorithms,BASELINE,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_0_repetition_0/energibridge.log,0.4832979941368103,0.24022904,0.483,0,FALSE,-0.1444235252880357,0.5558312655086848,0.483,0,1,2.010581235307771,2.301
run_1_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G1.py,0.478,0,2.275,2.275,2.275,19.126,37.868,results_1,ant_colony_optimization_algorithms,G1,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_1_repetition_0/energibridge.log,0.477683629989624,0.22791421,0.478,0,FALSE,-0.21352569049762213,0.5434243176178659,0.483,-1.0351966873706013,0.989648033126294,2.0972803758045626,2.275
run_2_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G12.py,0.476,0,2.264,2.264,2.264,16.747,37.885,results_1,ant_colony_optimization_algorithms,G12,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_2_repetition_0/energibridge.log,0.4755071783065796,0.22667612,0.476,0,FALSE,-0.2411665565814567,0.5384615384615383,0.483,-1.449275362318842,0.9855072463768115,2.0999124212996056,2.264
run_3_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G14.py,0.484,0,2.305,2.305,2.305,16.424,37.899,results_1,ant_colony_optimization_algorithms,G14,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_3_repetition_0/energibridge.log,0.484028034210205,0.22152425,0.484,0,FALSE,-0.1306030922461184,0.5583126550868486,0.483,0.20703933747412026,1.0020703933747412,2.1848623796266096,2.305
run_4_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G3.py,0.625,0,3.014,3.095,2.974,23.991,37.919,results_1,ant_colony_optimization_algorithms,G3,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_4_repetition_0/energibridge.log,0.6245212197303772,0.226514,0.625,0,FALSE,1.818077966664217,0.9081885856079404,0.483,29.399585921325055,1.2939958592132506,2.759211351174762,3.014
run_5_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G4.py,0.609,0,2.914,2.914,2.914,23.882,37.896,results_1,ant_colony_optimization_algorithms,G4,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_5_repetition_0/energibridge.log,0.6091151521205902,0.23448062,0.609,0,FALSE,1.5969510379935405,0.86848635235732,0.483,26.08695652173913,1.2608695652173914,2.5972295706144073,2.914
run_6_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G6.py,0.463,0,2.205,2.205,2.205,16.662,37.876,results_1,ant_colony_optimization_algorithms,G6,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_6_repetition_0/energibridge.log,0.4629693746566772,0.22631037,0.463,0,FALSE,-0.4208321861263806,0.5062034739454094,0.483,-4.140786749482394,0.958592132505176,2.0458629447691683,2.205
run_7_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G7.py,0.468,0,2.24,2.24,2.24,16.641,37.907,results_1,ant_colony_optimization_algorithms,G7,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_7_repetition_0/energibridge.log,0.46813862514495846,0.2338513,0.468,0,FALSE,-0.3517300209167942,0.5186104218362283,0.483,-3.1055900621117924,0.968944099378882,2.0012717483289593,2.24
run_8_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_G9.py,0.464,0,2.207,2.207,2.207,11.698,37.893,results_1,ant_colony_optimization_algorithms,G9,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_8_repetition_0/energibridge.log,0.4635662841796875,0.22282301,0.464,0,FALSE,-0.4070117530844633,0.5086848635235732,0.483,-3.933747412008274,0.9606625258799173,2.0823702184078745,2.207
run_9_repetition_0,DONE,ant_colony_optimization_algorithms/ant_colony_optimization_algorithms_OPTIMIZED.py,0.47,0,2.237,2.237,2.237,10.86,37.923,results_1,ant_colony_optimization_algorithms,OPTIMIZED,/Users/kellywang/Desktop/GreenLab/RESULTS/results_1/benchmarks_energy_analysis/run_9_repetition_0/energibridge.log,0.46975347518920896,0.22523722,0.47,0,FALSE,-0.3240891548329604,0.5235732009925557,0.483,-2.6915113871635636,0.9730848861283644,2.0866888696282078,2.237
