results_set,run_id,benchmark,variant,energy_joules,avg_power_watts,cpu_usage_avg,memory_usage_avg,energy_z_score,pct_vs_baseline_run
results_5,run_0_repetition_0,ant_colony_optimization_algorithms,BASELINE,0.259,1.232,6.92,38.55,-3.2402005266775045,0
results_7,run_0_repetition_0,ant_colony_optimization_algorithms,BASELINE,0.619,2.947,21.542,40.261,1.7351553684127135,0
results_2,run_3_repetition_0,ant_colony_optimization_algorithms,G14,0.629,2.996,17.827,39.02,1.8733596988318864,6.429780033840954
results_7,run_3_repetition_0,ant_colony_optimization_algorithms,G14,0.605,2.908,16.845,40.272,1.5416693058258715,-2.2617124394184187
results_7,run_7_repetition_0,ant_colony_optimization_algorithms,G7,0.608,2.958,16.389,40.294,1.5831306049516234,-1.7770597738287577
results_10,run_7_repetition_0,ant_colony_optimization_algorithms,G7,0.586,2.931,10.106,39.608,1.279081078029443,27.11496746203903
results_10,run_8_repetition_0,ant_colony_optimization_algorithms,G9,0.605,2.883,15.92,39.468,1.5416693058258715,31.23644251626897
results_7,run_8_repetition_0,ant_colony_optimization_algorithms,G9,0.581,2.906,11.019,40.291,1.2099789128198566,-6.138933764135708
results_7,run_24_repetition_0,convolution_neural_network,G4,0.759,3.649,18.13,40.411,-1.6484350253686477,-56.80136596471258
results_9,run_24_repetition_0,convolution_neural_network,G4,0.778,3.442,20.926,39.145,-1.5884646742865687,-47.4679270762998
results_7,run_25_repetition_0,convolution_neural_network,G6,1.508,3.624,16.618,40.437,0.7156593409722579,-14.171883892999427
results_1,run_29_repetition_0,kmeans,G1,3.76,3.598,18.36,38.58,0.6644158293052727,-7.457543686930839
results_7,run_29_repetition_0,kmeans,G1,3.66,3.486,18.538,40.607,0.5133053859678766,-4.71231450143192
results_6,run_31_repetition_0,kmeans,G14,4.073,3.752,16.87,39.794,1.137391516951325,41.620305980528535
results_10,run_38_repetition_0,linear_discriminant_analysis,G1,0.669,3.234,20.896,39.81,1.7854303982888542,27.671755725190845
results_2,run_44_repetition_0,linear_discriminant_analysis,G7,0.694,3.401,20.879,39.304,2.1350760191350173,28.04428044280441
results_5,run_45_repetition_0,linear_discriminant_analysis,G9,0.772,3.766,16.557,39.491,3.2259703561750515,51.96850393700787
results_2,run_45_repetition_0,linear_discriminant_analysis,G9,0.704,3.353,21.758,39.317,2.2749342674734834,29.889298892988915
results_2,run_46_repetition_0,linear_discriminant_analysis,OPTIMIZED,0.691,3.289,13.424,39.324,2.0931185446334775,27.49077490774906
results_2,run_49_repetition_0,n_body_simulation,G12,5.315,3.693,38.931,39.876,3.939763690583127,286.264534883721
results_2,run_50_repetition_0,n_body_simulation,G14,1.334,3.255,18.815,39.403,-0.03610338984107878,-3.0523255813953356
results_2,run_51_repetition_0,n_body_simulation,G3,1.337,3.254,16.29,39.389,-0.0331072579040599,-2.83430232558139
results_2,run_53_repetition_0,n_body_simulation,G6,1.261,3.025,16.245,39.425,-0.10900926697520781,-8.357558139534884
results_2,run_54_repetition_0,n_body_simulation,G7,1.268,3.038,14.425,39.442,-0.1020182924554967,-7.848837209302317
results_8,run_54_repetition_0,n_body_simulation,G7,1.285,3.082,27.419,39.51,-0.08504021147905584,15.870153291253375
results_8,run_55_repetition_0,n_body_simulation,G9,1.626,3.945,29.836,39.527,0.25552011869543645,46.6185752930568
