variant,n_runs,n_benchmarks,energy_mean,energy_median,energy_sd,energy_variance,energy_min,energy_max,energy_q25,energy_q75,energy_iqr,energy_cv,power_mean,power_median,power_sd,cpu_mean,cpu_median,cpu_sd,memory_mean,memory_median,memory_sd
OPTIMIZED,100,10,452.52679,1.1709999999999998,1350.7330930034148,1824479.8885345713,0.261,5912.04,0.5095000000000001,13.64725,13.13775,298.4868791974536,8.006409999999999,2.8855,12.678546868185956,26.58572,20.572,19.004679030494597,39.60453,39.529,0.7851468427927829
G12,70,7,210.95208571428572,4.074,531.8086302191942,282820.41917561565,0,1953.006,0.502,75.1375,74.63550000000001,252.09925202611072,9.192914285714286,2.947,12.703244126044334,33.36481428571429,25.816000000000003,19.875054976712118,39.656957142857145,39.643,0.8263516715619128
G4,80,8,42.9123375,0.942,111.35699495503772,12400.380325416298,0.434,352.004,0.57375,1.6977499999999999,1.1239999999999999,259.49878622910654,3.4777125,2.6189999999999998,2.3521639764254685,18.4757625,17.928,4.427308163635228,39.4442,39.3765,0.7349274553021967
G14,90,9,39.439144444444445,1.363,107.8945486022349,11641.23361808003,0.449,354.79,0.90025,2.968,2.06775,273.5722341903727,3.429011111111111,2.6615,2.2874416576065517,18.531855555555556,18.2815,4.421029679649253,39.442166666666665,39.434,0.7397430961587993
G1,100,10,35.656319999999994,0.997,103.86856628965418,10788.679063068284,0.277,380.51,0.5402500000000001,2.26775,1.7274999999999998,291.3047849291632,3.31869,2.5035,2.238412874305941,18.14952,18.1695,3.99711855175296,39.45602,39.4325,0.7560806298192537
BASELINE,100,10,35.31002,1.0325,102.98762253638328,10606.450395696562,0.259,372.895,0.56325,1.472,0.90875,291.66684849338316,3.35019,2.583,2.211567631291835,17.79498,18.0175,3.605828387934224,39.43829,39.4325,0.7448595324833489
G6,100,10,34.76314,0.9969999999999999,100.98027651312445,10197.016244667075,0.263,358.167,0.60225,2.6332500000000003,2.0310000000000006,290.48088438824703,3.29111,2.6174999999999997,2.1402010426427918,17.72201,17.4985,4.5260823037259295,39.4329,39.414,0.7569075107290056
G3,100,10,33.72381,0.9604999999999999,97.78025669669007,9560.978599670605,0.27,334.115,0.499,2.7335000000000003,2.2345,289.9442758593708,3.30682,2.603,2.1462658875829015,17.50358,17.7795,3.7079270671022506,39.43953,39.397999999999996,0.7429418381330295
G7,100,10,3.83284,0.967,7.76857927122671,60.35082389333332,0.288,29.014,0.54225,2.5605,2.01825,202.6846743205224,3.00857,2.5185,1.390394699102715,17.81696,17.4745,4.195868041853374,39.44932,39.4235,0.741372926237245
G9,70,7,1.6302571428571428,0.9524999999999999,1.4891886487178108,2.2176828314699795,0.447,6.573,0.587,2.67325,2.0862499999999997,91.34685624550619,2.591857142857143,2.376,0.5205839888442535,18.241285714285713,18.018,3.945282022368597,39.43555714285714,39.421,0.7460793297314887
