results_set,run_id,benchmark,variant,energy_joules,power_watts,cpu_usage_avg,memory_usage_avg,energy_z_score,is_outlier_extreme
results_5,run_0_repetition_0,ant_colony_optimization_algorithms,BASELINE,0.259,1.232,6.92,38.55,-3.2402005266775045,TRUE
results_7,run_0_repetition_0,ant_colony_optimization_algorithms,BASELINE,0.619,2.947,21.542,40.261,1.7351553684127135,TRUE
results_2,run_0_repetition_0,ant_colony_optimization_algorithms,BASELINE,0.591,2.941,16.019,39.201,1.3481832432390295,FALSE
results_2,run_3_repetition_0,ant_colony_optimization_algorithms,G14,0.629,2.996,17.827,39.02,1.8733596988318864,TRUE
results_7,run_3_repetition_0,ant_colony_optimization_algorithms,G14,0.605,2.908,16.845,40.272,1.5416693058258715,TRUE
results_7,run_7_repetition_0,ant_colony_optimization_algorithms,G7,0.608,2.958,16.389,40.294,1.5831306049516234,TRUE
results_10,run_7_repetition_0,ant_colony_optimization_algorithms,G7,0.586,2.931,10.106,39.608,1.279081078029443,TRUE
results_10,run_8_repetition_0,ant_colony_optimization_algorithms,G9,0.605,2.883,15.92,39.468,1.5416693058258715,TRUE
results_7,run_8_repetition_0,ant_colony_optimization_algorithms,G9,0.581,2.906,11.019,40.291,1.2099789128198566,TRUE
results_10,run_9_repetition_0,ant_colony_optimization_algorithms,OPTIMIZED,0.662,3.151,13.182,39.488,2.3294339892151568,FALSE
results_2,run_10_repetition_0,basic_string,BASELINE,0.929,2.216,15.721,39.054,-0.4208318027527703,FALSE
results_8,run_10_repetition_0,basic_string,BASELINE,0.948,2.301,17.983,40.93,-0.4208180726349865,FALSE
results_4,run_12_repetition_0,basic_string,G12,0,38.754,77.231,38.534,-0.4215031332486207,FALSE
results_1,run_14_repetition_0,basic_string,G3,5.427,3.311,20.281,38.227,-0.4175813780268982,FALSE
results_3,run_16_repetition_0,basic_string,G6,5.354,3.701,20.18,39.84,-0.4176341305846991,FALSE
results_7,run_20_repetition_0,convolution_neural_network,BASELINE,1.757,4.193,12.84,40.441,1.5015865735742409,FALSE
results_10,run_20_repetition_0,convolution_neural_network,BASELINE,1.751,4.179,15.805,39.537,1.4826485679693737,FALSE
results_3,run_21_repetition_0,convolution_neural_network,G1,1.82,4.132,16.127,40.034,1.7004356324253456,FALSE
results_5,run_22_repetition_0,convolution_neural_network,G14,1.695,4.095,17.813,38.975,1.3058938489906151,FALSE
results_7,run_22_repetition_0,convolution_neural_network,G14,1.646,4.015,18.182,40.43,1.1512334698842002,FALSE
results_7,run_24_repetition_0,convolution_neural_network,G4,0.759,3.649,18.13,40.411,-1.6484350253686477,TRUE
results_9,run_24_repetition_0,convolution_neural_network,G4,0.778,3.442,20.926,39.145,-1.5884646742865687,TRUE
results_7,run_25_repetition_0,convolution_neural_network,G6,1.508,3.624,16.618,40.437,0.7156593409722579,TRUE
