benchmark,BASELINE,G1,G12,G14,G3,G4,G6,G7,G9,OPTIMIZED
ant_colony_optimization_algorithms,0.45,0.47,0.46,0.46,0.46,0.49,0.46,0.45,0.46,0.47
basic_string,1.32,2.27,1618.66,2.92,3.13,2.64,2.65,2.88,4.23,4249.04
convolution_neural_network,1.46,1.37,NA,1.33,1.25,0.60,1.16,1.34,NA,1.22
kmeans,3.01,2.96,4.53,3.02,3.00,NA,2.88,2.80,2.89,4.06
linear_discriminant_analysis,0.53,0.54,0.53,0.53,0.53,0.52,0.53,0.52,0.50,0.51
n_body_simulation,1.06,1.03,4.13,1.00,1.01,0.97,0.98,0.98,0.97,0.98
sequential_minimum_optimization,340.26,336.19,NA,340.60,324.57,336.42,336.12,27.47,NA,13.66
sol1,0.95,0.93,80.49,1.19,0.95,0.96,0.92,0.94,0.98,79.35
sol1_problem180,1.05,0.96,0.47,1.39,0.46,0.94,0.93,0.93,0.91,0.69
two_hidden_layers_neural_network,0.47,0.46,NA,NA,0.46,NA,0.46,0.46,NA,0.46
